Sentence,Intent
Can you give me the purchased date for 24F OFC fiber pullings?,Purchased Date
When was the acquisition date for 24F OFC fiber pullings?,Purchased Date
What date did we purchase 24F OFC fiber pullings?,Purchased Date
When did we acquire the 24F OFC fiber pullings component?,Purchased Date
Can you provide me with the date 24F OFC fiber pullings was purchased?,Purchased Date
What is the purchase date for the 24F OFC fiber pullings unit?,Purchased Date
Could you let me know the purchased date of 24F OFC fiber pullings?,Purchased Date
What is the date of acquisition for 24F OFC fiber pullings?,Purchased Date
When did we get 24F OFC fiber pullings?,Purchased Date
Can you share the purchased date for 24F OFC fiber pullings?,Purchased Date
What is the purchased date for PVC pipe?,Purchased Date
Can you tell me the purchase date of PVC pipe?,Purchased Date
When was PVC pipe purchased?,Purchased Date
What date was PVC pipe acquired?,Purchased Date
When did we buy PVC pipe?,Purchased Date
Can you provide the purchase date for PVC pipe?,Purchased Date
What’s the acquisition date for PVC pipe?,Purchased Date
On what date was PVC pipe purchased?,Purchased Date
Can you check the purchased date of PVC pipe?,Purchased Date
What is the acquisition date for PVC pipe?,Purchased Date
When was the PVC pipe item acquired?,Purchased Date
Could you tell me when PVC pipe was bought?,Purchased Date
What’s the date of purchase for PVC pipe?,Purchased Date
Can you inform me of the purchase date for PVC pipe?,Purchased Date
When did we acquire PVC pipe?,Purchased Date
What is the date when PVC pipe was purchased?,Purchased Date
Can I know the date of purchase for PVC pipe?,Purchased Date
What’s the purchase date for PVC pipe?,Purchased Date
When was PVC pipe bought?,Purchased Date
Can you give me the purchased date for PVC pipe?,Purchased Date
When was the acquisition date for PVC pipe?,Purchased Date
What date did we purchase PVC pipe?,Purchased Date
When did we acquire the PVC pipe component?,Purchased Date
Can you provide me with the date PVC pipe was purchased?,Purchased Date
What is the purchase date for the PVC pipe unit?,Purchased Date
Could you let me know the purchased date of PVC pipe?,Purchased Date
What is the date of acquisition for PVC pipe?,Purchased Date
When did we get PVC pipe?,Purchased Date
Can you share the purchased date for PVC pipe?,Purchased Date
What is the purchased date for Labour charges?,Purchased Date
Can you tell me the purchase date of Labour charges?,Purchased Date
When was Labour charges purchased?,Purchased Date
What date was Labour charges acquired?,Purchased Date
When did we buy Labour charges?,Purchased Date
Can you provide the purchase date for Labour charges?,Purchased Date
What’s the acquisition date for Labour charges?,Purchased Date
On what date was Labour charges purchased?,Purchased Date
Can you check the purchased date of Labour charges?,Purchased Date
What is the acquisition date for Labour charges?,Purchased Date
When was the Labour charges item acquired?,Purchased Date
Could you tell me when Labour charges was bought?,Purchased Date
What’s the date of purchase for Labour charges?,Purchased Date
Can you inform me of the purchase date for Labour charges?,Purchased Date
When did we acquire Labour charges?,Purchased Date
What is the date when Labour charges was purchased?,Purchased Date
Can I know the date of purchase for Labour charges?,Purchased Date
What’s the purchase date for Labour charges?,Purchased Date
When was Labour charges bought?,Purchased Date
Can you give me the purchased date for Labour charges?,Purchased Date
When was the acquisition date for Labour charges?,Purchased Date
What date did we purchase Labour charges?,Purchased Date
When did we acquire the Labour charges component?,Purchased Date
Can you provide me with the date Labour charges was purchased?,Purchased Date
What is the purchase date for the Labour charges unit?,Purchased Date
Could you let me know the purchased date of Labour charges?,Purchased Date
What is the date of acquisition for Labour charges?,Purchased Date
When did we get Labour charges?,Purchased Date
Can you share the purchased date for Labour charges?,Purchased Date
What is the purchased date for OFC joints?,Purchased Date
Can you tell me the purchase date of OFC joints?,Purchased Date
When was OFC joints purchased?,Purchased Date
What date was OFC joints acquired?,Purchased Date
When did we buy OFC joints?,Purchased Date
Can you provide the purchase date for OFC joints?,Purchased Date
What’s the acquisition date for OFC joints?,Purchased Date
On what date was OFC joints purchased?,Purchased Date
Can you check the purchased date of OFC joints?,Purchased Date
What is the acquisition date for OFC joints?,Purchased Date
When was the OFC joints item acquired?,Purchased Date
Could you tell me when OFC joints was bought?,Purchased Date
What’s the date of purchase for OFC joints?,Purchased Date
Can you inform me of the purchase date for OFC joints?,Purchased Date
When did we acquire OFC joints?,Purchased Date
What is the date when OFC joints was purchased?,Purchased Date
Can I know the date of purchase for OFC joints?,Purchased Date
What’s the purchase date for OFC joints?,Purchased Date
When was OFC joints bought?,Purchased Date
Can you give me the purchased date for OFC joints?,Purchased Date
When was the acquisition date for OFC joints?,Purchased Date
What date did we purchase OFC joints?,Purchased Date
When did we acquire the OFC joints component?,Purchased Date
Can you provide me with the date OFC joints was purchased?,Purchased Date
What is the purchase date for the OFC joints unit?,Purchased Date
Could you let me know the purchased date of OFC joints?,Purchased Date
What is the date of acquisition for OFC joints?,Purchased Date
When did we get OFC joints?,Purchased Date
Can you share the purchased date for OFC joints?,Purchased Date
What is the purchased date for 64 GB pen drives?,Purchased Date
Can you tell me the purchase date of 64 GB pen drives?,Purchased Date
When was 64 GB pen drives purchased?,Purchased Date
What date was 64 GB pen drives acquired?,Purchased Date
When did we buy 64 GB pen drives?,Purchased Date
Can you provide the purchase date for 64 GB pen drives?,Purchased Date
What’s the acquisition date for 64 GB pen drives?,Purchased Date
On what date was 64 GB pen drives purchased?,Purchased Date
Can you check the purchased date of 64 GB pen drives?,Purchased Date
What is the acquisition date for 64 GB pen drives?,Purchased Date
When was the 64 GB pen drives item acquired?,Purchased Date
Could you tell me when 64 GB pen drives was bought?,Purchased Date
What’s the date of purchase for 64 GB pen drives?,Purchased Date
Can you inform me of the purchase date for 64 GB pen drives?,Purchased Date
When did we acquire 64 GB pen drives?,Purchased Date
What is the date when 64 GB pen drives was purchased?,Purchased Date
Can I know the date of purchase for 64 GB pen drives?,Purchased Date
What’s the purchase date for 64 GB pen drives?,Purchased Date
When was 64 GB pen drives bought?,Purchased Date
Can you give me the purchased date for 64 GB pen drives?,Purchased Date
When was the acquisition date for 64 GB pen drives?,Purchased Date
What date did we purchase 64 GB pen drives?,Purchased Date
When did we acquire the 64 GB pen drives component?,Purchased Date
Can you provide me with the date 64 GB pen drives was purchased?,Purchased Date
What is the purchase date for the 64 GB pen drives unit?,Purchased Date
Could you let me know the purchased date of 64 GB pen drives?,Purchased Date
What is the date of acquisition for 64 GB pen drives?,Purchased Date
When did we get 64 GB pen drives?,Purchased Date
Can you share the purchased date for 64 GB pen drives?,Purchased Date
What is the purchased date for CMOS batteries?,Purchased Date
Can you tell me the purchase date of CMOS batteries?,Purchased Date
When was CMOS batteries purchased?,Purchased Date
What date was CMOS batteries acquired?,Purchased Date
When did we buy CMOS batteries?,Purchased Date
Can you provide the purchase date for CMOS batteries?,Purchased Date
What’s the acquisition date for CMOS batteries?,Purchased Date
On what date was CMOS batteries purchased?,Purchased Date
Can you check the purchased date of CMOS batteries?,Purchased Date
What is the acquisition date for CMOS batteries?,Purchased Date
When was the CMOS batteries item acquired?,Purchased Date
Could you tell me when CMOS batteries was bought?,Purchased Date
What’s the date of purchase for CMOS batteries?,Purchased Date
Can you inform me of the purchase date for CMOS batteries?,Purchased Date
When did we acquire CMOS batteries?,Purchased Date
What is the date when CMOS batteries was purchased?,Purchased Date
Can I know the date of purchase for CMOS batteries?,Purchased Date
What’s the purchase date for CMOS batteries?,Purchased Date
When was CMOS batteries bought?,Purchased Date
Can you give me the purchased date for CMOS batteries?,Purchased Date
When was the acquisition date for CMOS batteries?,Purchased Date
What date did we purchase CMOS batteries?,Purchased Date
When did we acquire the CMOS batteries component?,Purchased Date
Can you provide me with the date CMOS batteries was purchased?,Purchased Date
What is the purchase date for the CMOS batteries unit?,Purchased Date
Could you let me know the purchased date of CMOS batteries?,Purchased Date
What is the date of acquisition for CMOS batteries?,Purchased Date
When did we get CMOS batteries?,Purchased Date
Can you share the purchased date for CMOS batteries?,Purchased Date
What is the purchased date for Diginode player?,Purchased Date
Can you tell me the purchase date of Diginode player?,Purchased Date
When was Diginode player purchased?,Purchased Date
What date was Diginode player acquired?,Purchased Date
When did we buy Diginode player?,Purchased Date
Can you provide the purchase date for Diginode player?,Purchased Date
What’s the acquisition date for Diginode player?,Purchased Date
On what date was Diginode player purchased?,Purchased Date
Can you check the purchased date of Diginode player?,Purchased Date
What is the acquisition date for Diginode player?,Purchased Date
When was the Diginode player item acquired?,Purchased Date
Could you tell me when Diginode player was bought?,Purchased Date
What’s the date of purchase for Diginode player?,Purchased Date
Can you inform me of the purchase date for Diginode player?,Purchased Date
When did we acquire Diginode player?,Purchased Date
What is the date when Diginode player was purchased?,Purchased Date
Can I know the date of purchase for Diginode player?,Purchased Date
What’s the purchase date for Diginode player?,Purchased Date
When was Diginode player bought?,Purchased Date
Can you give me the purchased date for Diginode player?,Purchased Date
When was the acquisition date for Diginode player?,Purchased Date
What date did we purchase Diginode player?,Purchased Date
When did we acquire the Diginode player component?,Purchased Date
Can you provide me with the date Diginode player was purchased?,Purchased Date
What is the purchase date for the Diginode player unit?,Purchased Date
Could you let me know the purchased date of Diginode player?,Purchased Date
What is the date of acquisition for Diginode player?,Purchased Date
When did we get Diginode player?,Purchased Date
Can you share the purchased date for Diginode player?,Purchased Date
What is the purchased date for DigiCloud applications?,Purchased Date
Can you tell me the purchase date of DigiCloud applications?,Purchased Date
When was DigiCloud applications purchased?,Purchased Date
What date was DigiCloud applications acquired?,Purchased Date
When did we buy DigiCloud applications?,Purchased Date
Can you provide the purchase date for DigiCloud applications?,Purchased Date
What’s the acquisition date for DigiCloud applications?,Purchased Date
On what date was DigiCloud applications purchased?,Purchased Date
Can you check the purchased date of DigiCloud applications?,Purchased Date
What is the acquisition date for DigiCloud applications?,Purchased Date
When was the DigiCloud applications item acquired?,Purchased Date
Could you tell me when DigiCloud applications was bought?,Purchased Date
What’s the date of purchase for DigiCloud applications?,Purchased Date
Can you inform me of the purchase date for DigiCloud applications?,Purchased Date
When did we acquire DigiCloud applications?,Purchased Date
What is the date when DigiCloud applications was purchased?,Purchased Date
Can I know the date of purchase for DigiCloud applications?,Purchased Date
What’s the purchase date for DigiCloud applications?,Purchased Date
When was DigiCloud applications bought?,Purchased Date
Can you give me the purchased date for DigiCloud applications?,Purchased Date
When was the acquisition date for DigiCloud applications?,Purchased Date
What date did we purchase DigiCloud applications?,Purchased Date
When did we acquire the DigiCloud applications component?,Purchased Date
Can you provide me with the date DigiCloud applications was purchased?,Purchased Date
What is the purchase date for the DigiCloud applications unit?,Purchased Date
Could you let me know the purchased date of DigiCloud applications?,Purchased Date
What is the date of acquisition for DigiCloud applications?,Purchased Date
When did we get DigiCloud applications?,Purchased Date
Can you share the purchased date for DigiCloud applications?,Purchased Date
What is the purchased date for Sandisk 32 GB pen drives?,Purchased Date
Can you tell me the purchase date of Sandisk 32 GB pen drives?,Purchased Date
When was Sandisk 32 GB pen drives purchased?,Purchased Date
What date was Sandisk 32 GB pen drives acquired?,Purchased Date
When did we buy Sandisk 32 GB pen drives?,Purchased Date
Can you provide the purchase date for Sandisk 32 GB pen drives?,Purchased Date
What’s the acquisition date for Sandisk 32 GB pen drives?,Purchased Date
On what date was Sandisk 32 GB pen drives purchased?,Purchased Date
Can you check the purchased date of Sandisk 32 GB pen drives?,Purchased Date
What is the acquisition date for Sandisk 32 GB pen drives?,Purchased Date
When was the Sandisk 32 GB pen drives item acquired?,Purchased Date
Could you tell me when Sandisk 32 GB pen drives was bought?,Purchased Date
What’s the date of purchase for Sandisk 32 GB pen drives?,Purchased Date
Can you inform me of the purchase date for Sandisk 32 GB pen drives?,Purchased Date
When did we acquire Sandisk 32 GB pen drives?,Purchased Date
What is the date when Sandisk 32 GB pen drives was purchased?,Purchased Date
Can I know the date of purchase for Sandisk 32 GB pen drives?,Purchased Date
What’s the purchase date for Sandisk 32 GB pen drives?,Purchased Date
When was Sandisk 32 GB pen drives bought?,Purchased Date
Can you give me the purchased date for Sandisk 32 GB pen drives?,Purchased Date
When was the acquisition date for Sandisk 32 GB pen drives?,Purchased Date
What date did we purchase Sandisk 32 GB pen drives?,Purchased Date
When did we acquire the Sandisk 32 GB pen drives component?,Purchased Date
Can you provide me with the date Sandisk 32 GB pen drives was purchased?,Purchased Date
What is the purchase date for the Sandisk 32 GB pen drives unit?,Purchased Date
Could you let me know the purchased date of Sandisk 32 GB pen drives?,Purchased Date
What is the date of acquisition for Sandisk 32 GB pen drives?,Purchased Date
When did we get Sandisk 32 GB pen drives?,Purchased Date
Can you share the purchased date for Sandisk 32 GB pen drives?,Purchased Date
What is the purchased quantity of Valrack: 12u?,Purchased Quantity
How many units of Valrack: 12u were purchased?,Purchased Quantity
Can you tell me the purchased amount of Valrack: 12u?,Purchased Quantity
What’s the quantity purchased for Valrack: 12u?,Purchased Quantity
How much Valrack: 12u was bought?,Purchased Quantity
Give me the purchased quantity for Valrack: 12u.,Purchased Quantity
How many Valrack: 12u units were acquired?,Purchased Quantity
What quantity of Valrack: 12u has been purchased?,Purchased Quantity
What was the purchased quantity for Valrack: 12u?,Purchased Quantity
Could you provide the quantity of Valrack: 12u purchased?,Purchased Quantity
How many Valrack: 12u did we buy?,Purchased Quantity
What is the amount of Valrack: 12u purchased?,Purchased Quantity
How much of Valrack: 12u was ordered?,Purchased Quantity
What’s the total purchased quantity of Valrack: 12u?,Purchased Quantity
How many Valrack: 12u items were purchased?,Purchased Quantity
Can you give me the quantity bought for Valrack: 12u?,Purchased Quantity
What’s the number of Valrack: 12u purchased?,Purchased Quantity
How much stock of Valrack: 12u was bought?,Purchased Quantity
Tell me the quantity purchased for Valrack: 12u.,Purchased Quantity
How many units of Valrack: 12u were ordered?,Purchased Quantity
What is the total quantity purchased for Valrack: 12u?,Purchased Quantity
Can you list the purchased quantity for Valrack: 12u?,Purchased Quantity
How much Valrack: 12u stock was acquired?,Purchased Quantity
What was the ordered quantity for Valrack: 12u?,Purchased Quantity
How many pieces of Valrack: 12u did we buy?,Purchased Quantity
What quantity of Valrack: 12u was ordered?,Purchased Quantity
How much of Valrack: 12u has been bought?,Purchased Quantity
How many Valrack: 12u units were ordered?,Purchased Quantity
What is the purchased quantity of Dlink: 2 mtr patch cards?,Purchased Quantity
How many units of Dlink: 2 mtr patch cards were purchased?,Purchased Quantity
Can you tell me the purchased amount of Dlink: 2 mtr patch cards?,Purchased Quantity
What’s the quantity purchased for Dlink: 2 mtr patch cards?,Purchased Quantity
How much Dlink: 2 mtr patch cards was bought?,Purchased Quantity
Give me the purchased quantity for Dlink: 2 mtr patch cards.,Purchased Quantity
How many Dlink: 2 mtr patch cards units were acquired?,Purchased Quantity
What quantity of Dlink: 2 mtr patch cards has been purchased?,Purchased Quantity
What was the purchased quantity for Dlink: 2 mtr patch cards?,Purchased Quantity
Could you provide the quantity of Dlink: 2 mtr patch cards purchased?,Purchased Quantity
How many Dlink: 2 mtr patch cards did we buy?,Purchased Quantity
What is the amount of Dlink: 2 mtr patch cards purchased?,Purchased Quantity
How much of Dlink: 2 mtr patch cards was ordered?,Purchased Quantity
What’s the total purchased quantity of Dlink: 2 mtr patch cards?,Purchased Quantity
How many Dlink: 2 mtr patch cards items were purchased?,Purchased Quantity
Can you give me the quantity bought for Dlink: 2 mtr patch cards?,Purchased Quantity
What’s the number of Dlink: 2 mtr patch cards purchased?,Purchased Quantity
How much stock of Dlink: 2 mtr patch cards was bought?,Purchased Quantity
Tell me the quantity purchased for Dlink: 2 mtr patch cards.,Purchased Quantity
How many units of Dlink: 2 mtr patch cards were ordered?,Purchased Quantity
What is the total quantity purchased for Dlink: 2 mtr patch cards?,Purchased Quantity
Can you list the purchased quantity for Dlink: 2 mtr patch cards?,Purchased Quantity
How much Dlink: 2 mtr patch cards stock was acquired?,Purchased Quantity
What was the ordered quantity for Dlink: 2 mtr patch cards?,Purchased Quantity
How many pieces of Dlink: 2 mtr patch cards did we buy?,Purchased Quantity
What quantity of Dlink: 2 mtr patch cards was ordered?,Purchased Quantity
How much of Dlink: 2 mtr patch cards has been bought?,Purchased Quantity
How many Dlink: 2 mtr patch cards units were ordered?,Purchased Quantity
What is the purchased quantity of Dlink: mount box?,Purchased Quantity
How many units of Dlink: mount box were purchased?,Purchased Quantity
Can you tell me the purchased amount of Dlink: mount box?,Purchased Quantity
What’s the quantity purchased for Dlink: mount box?,Purchased Quantity
How much Dlink: mount box was bought?,Purchased Quantity
Give me the purchased quantity for Dlink: mount box.,Purchased Quantity
How many Dlink: mount box units were acquired?,Purchased Quantity
What quantity of Dlink: mount box has been purchased?,Purchased Quantity
What was the purchased quantity for Dlink: mount box?,Purchased Quantity
Could you provide the quantity of Dlink: mount box purchased?,Purchased Quantity
How many Dlink: mount box did we buy?,Purchased Quantity
What is the amount of Dlink: mount box purchased?,Purchased Quantity
How much of Dlink: mount box was ordered?,Purchased Quantity
What’s the total purchased quantity of Dlink: mount box?,Purchased Quantity
How many Dlink: mount box items were purchased?,Purchased Quantity
Can you give me the quantity bought for Dlink: mount box?,Purchased Quantity
What’s the number of Dlink: mount box purchased?,Purchased Quantity
How much stock of Dlink: mount box was bought?,Purchased Quantity
Tell me the quantity purchased for Dlink: mount box.,Purchased Quantity
How many units of Dlink: mount box were ordered?,Purchased Quantity
What is the total quantity purchased for Dlink: mount box?,Purchased Quantity
Can you list the purchased quantity for Dlink: mount box?,Purchased Quantity
How much Dlink: mount box stock was acquired?,Purchased Quantity
What was the ordered quantity for Dlink: mount box?,Purchased Quantity
How many pieces of Dlink: mount box did we buy?,Purchased Quantity
What quantity of Dlink: mount box was ordered?,Purchased Quantity
How much of Dlink: mount box has been bought?,Purchased Quantity
How many Dlink: mount box units were ordered?,Purchased Quantity
What is the purchased quantity of Dlink 1 mtr patch cards?,Purchased Quantity
How many units of Dlink 1 mtr patch cards were purchased?,Purchased Quantity
Can you tell me the purchased amount of Dlink 1 mtr patch cards?,Purchased Quantity
What’s the quantity purchased for Dlink 1 mtr patch cards?,Purchased Quantity
How much Dlink 1 mtr patch cards was bought?,Purchased Quantity
Give me the purchased quantity for Dlink 1 mtr patch cards.,Purchased Quantity
How many Dlink 1 mtr patch cards units were acquired?,Purchased Quantity
What quantity of Dlink 1 mtr patch cards has been purchased?,Purchased Quantity
What was the purchased quantity for Dlink 1 mtr patch cards?,Purchased Quantity
Could you provide the quantity of Dlink 1 mtr patch cards purchased?,Purchased Quantity
How many Dlink 1 mtr patch cards did we buy?,Purchased Quantity
What is the amount of Dlink 1 mtr patch cards purchased?,Purchased Quantity
How much of Dlink 1 mtr patch cards was ordered?,Purchased Quantity
What’s the total purchased quantity of Dlink 1 mtr patch cards?,Purchased Quantity
How many Dlink 1 mtr patch cards items were purchased?,Purchased Quantity
Can you give me the quantity bought for Dlink 1 mtr patch cards?,Purchased Quantity
What’s the number of Dlink 1 mtr patch cards purchased?,Purchased Quantity
How much stock of Dlink 1 mtr patch cards was bought?,Purchased Quantity
Tell me the quantity purchased for Dlink 1 mtr patch cards.,Purchased Quantity
How many units of Dlink 1 mtr patch cards were ordered?,Purchased Quantity
What is the total quantity purchased for Dlink 1 mtr patch cards?,Purchased Quantity
Can you list the purchased quantity for Dlink 1 mtr patch cards?,Purchased Quantity
How much Dlink 1 mtr patch cards stock was acquired?,Purchased Quantity
What was the ordered quantity for Dlink 1 mtr patch cards?,Purchased Quantity
How many pieces of Dlink 1 mtr patch cards did we buy?,Purchased Quantity
What quantity of Dlink 1 mtr patch cards was ordered?,Purchased Quantity
How much of Dlink 1 mtr patch cards has been bought?,Purchased Quantity
How many Dlink 1 mtr patch cards units were ordered?,Purchased Quantity
What is the purchased quantity of Dlink single face plates?,Purchased Quantity
How many units of Dlink single face plates were purchased?,Purchased Quantity
Can you tell me the purchased amount of Dlink single face plates?,Purchased Quantity
What’s the quantity purchased for Dlink single face plates?,Purchased Quantity
How much Dlink single face plates was bought?,Purchased Quantity
Give me the purchased quantity for Dlink single face plates.,Purchased Quantity
How many Dlink single face plates units were acquired?,Purchased Quantity
What quantity of Dlink single face plates has been purchased?,Purchased Quantity
What was the purchased quantity for Dlink single face plates?,Purchased Quantity
Could you provide the quantity of Dlink single face plates purchased?,Purchased Quantity
How many Dlink single face plates did we buy?,Purchased Quantity
What is the amount of Dlink single face plates purchased?,Purchased Quantity
How much of Dlink single face plates was ordered?,Purchased Quantity
What’s the total purchased quantity of Dlink single face plates?,Purchased Quantity
How many Dlink single face plates items were purchased?,Purchased Quantity
Can you give me the quantity bought for Dlink single face plates?,Purchased Quantity
What’s the number of Dlink single face plates purchased?,Purchased Quantity
How much stock of Dlink single face plates was bought?,Purchased Quantity
Tell me the quantity purchased for Dlink single face plates.,Purchased Quantity
How many units of Dlink single face plates were ordered?,Purchased Quantity
What is the total quantity purchased for Dlink single face plates?,Purchased Quantity
Can you list the purchased quantity for Dlink single face plates?,Purchased Quantity
How much Dlink single face plates stock was acquired?,Purchased Quantity
What was the ordered quantity for Dlink single face plates?,Purchased Quantity
How many pieces of Dlink single face plates did we buy?,Purchased Quantity
What quantity of Dlink single face plates was ordered?,Purchased Quantity
How much of Dlink single face plates has been bought?,Purchased Quantity
How many Dlink single face plates units were ordered?,Purchased Quantity
What is the purchased quantity of Dlink i/os?,Purchased Quantity
How many units of Dlink i/os were purchased?,Purchased Quantity
Can you tell me the purchased amount of Dlink i/os?,Purchased Quantity
What’s the quantity purchased for Dlink i/os?,Purchased Quantity
How much Dlink i/os was bought?,Purchased Quantity
Give me the purchased quantity for Dlink i/os.,Purchased Quantity
How many Dlink i/os units were acquired?,Purchased Quantity
What quantity of Dlink i/os has been purchased?,Purchased Quantity
What was the purchased quantity for Dlink i/os?,Purchased Quantity
Could you provide the quantity of Dlink i/os purchased?,Purchased Quantity
How many Dlink i/os did we buy?,Purchased Quantity
What is the amount of Dlink i/os purchased?,Purchased Quantity
How much of Dlink i/os was ordered?,Purchased Quantity
What’s the total purchased quantity of Dlink i/os?,Purchased Quantity
How many Dlink i/os items were purchased?,Purchased Quantity
Can you give me the quantity bought for Dlink i/os?,Purchased Quantity
What’s the number of Dlink i/os purchased?,Purchased Quantity
How much stock of Dlink i/os was bought?,Purchased Quantity
Tell me the quantity purchased for Dlink i/os.,Purchased Quantity
How many units of Dlink i/os were ordered?,Purchased Quantity
What is the total quantity purchased for Dlink i/os?,Purchased Quantity
Can you list the purchased quantity for Dlink i/os?,Purchased Quantity
How much Dlink i/os stock was acquired?,Purchased Quantity
What was the ordered quantity for Dlink i/os?,Purchased Quantity
How many pieces of Dlink i/os did we buy?,Purchased Quantity
What quantity of Dlink i/os was ordered?,Purchased Quantity
How much of Dlink i/os has been bought?,Purchased Quantity
How many Dlink i/os units were ordered?,Purchased Quantity
What is the purchased quantity of Dlink patch panel?,Purchased Quantity
How many units of Dlink patch panel were purchased?,Purchased Quantity
Can you tell me the purchased amount of Dlink patch panel?,Purchased Quantity
What’s the quantity purchased for Dlink patch panel?,Purchased Quantity
How much Dlink patch panel was bought?,Purchased Quantity
Give me the purchased quantity for Dlink patch panel.,Purchased Quantity
How many Dlink patch panel units were acquired?,Purchased Quantity
What quantity of Dlink patch panel has been purchased?,Purchased Quantity
What was the purchased quantity for Dlink patch panel?,Purchased Quantity
Could you provide the quantity of Dlink patch panel purchased?,Purchased Quantity
How many Dlink patch panel did we buy?,Purchased Quantity
What is the amount of Dlink patch panel purchased?,Purchased Quantity
How much of Dlink patch panel was ordered?,Purchased Quantity
What’s the total purchased quantity of Dlink patch panel?,Purchased Quantity
How many Dlink patch panel items were purchased?,Purchased Quantity
Can you give me the quantity bought for Dlink patch panel?,Purchased Quantity
What’s the number of Dlink patch panel purchased?,Purchased Quantity
How much stock of Dlink patch panel was bought?,Purchased Quantity
Tell me the quantity purchased for Dlink patch panel.,Purchased Quantity
How many units of Dlink patch panel were ordered?,Purchased Quantity
What is the total quantity purchased for Dlink patch panel?,Purchased Quantity
Can you list the purchased quantity for Dlink patch panel?,Purchased Quantity
How much Dlink patch panel stock was acquired?,Purchased Quantity
What was the ordered quantity for Dlink patch panel?,Purchased Quantity
How many pieces of Dlink patch panel did we buy?,Purchased Quantity
What quantity of Dlink patch panel was ordered?,Purchased Quantity
How much of Dlink patch panel has been bought?,Purchased Quantity
How many Dlink patch panel units were ordered?,Purchased Quantity
"What is the purchased quantity of Sudhakar 1"" pvc?",Purchased Quantity
"How many units of Sudhakar 1"" pvc were purchased?",Purchased Quantity
"Can you tell me the purchased amount of Sudhakar 1"" pvc?",Purchased Quantity
"What’s the quantity purchased for Sudhakar 1"" pvc?",Purchased Quantity
"How much Sudhakar 1"" pvc was bought?",Purchased Quantity
"Give me the purchased quantity for Sudhakar 1"" pvc.",Purchased Quantity
"How many Sudhakar 1"" pvc units were acquired?",Purchased Quantity
"What quantity of Sudhakar 1"" pvc has been purchased?",Purchased Quantity
"What was the purchased quantity for Sudhakar 1"" pvc?",Purchased Quantity
"Could you provide the quantity of Sudhakar 1"" pvc purchased?",Purchased Quantity
"How many Sudhakar 1"" pvc did we buy?",Purchased Quantity
"What is the amount of Sudhakar 1"" pvc purchased?",Purchased Quantity
"How much of Sudhakar 1"" pvc was ordered?",Purchased Quantity
"What’s the total purchased quantity of Sudhakar 1"" pvc?",Purchased Quantity
"How many Sudhakar 1"" pvc items were purchased?",Purchased Quantity
"Can you give me the quantity bought for Sudhakar 1"" pvc?",Purchased Quantity
"What’s the number of Sudhakar 1"" pvc purchased?",Purchased Quantity
"How much stock of Sudhakar 1"" pvc was bought?",Purchased Quantity
"Tell me the quantity purchased for Sudhakar 1"" pvc.",Purchased Quantity
"How many units of Sudhakar 1"" pvc were ordered?",Purchased Quantity
"What is the total quantity purchased for Sudhakar 1"" pvc?",Purchased Quantity
"Can you list the purchased quantity for Sudhakar 1"" pvc?",Purchased Quantity
"How much Sudhakar 1"" pvc stock was acquired?",Purchased Quantity
"What was the ordered quantity for Sudhakar 1"" pvc?",Purchased Quantity
"How many pieces of Sudhakar 1"" pvc did we buy?",Purchased Quantity
"What quantity of Sudhakar 1"" pvc was ordered?",Purchased Quantity
"How much of Sudhakar 1"" pvc has been bought?",Purchased Quantity
"How many Sudhakar 1"" pvc units were ordered?",Purchased Quantity
"What is the purchased quantity of Standard 1"" casing and caping?",Purchased Quantity
"How many units of Standard 1"" casing and caping were purchased?",Purchased Quantity
"Can you tell me the purchased amount of Standard 1"" casing and caping?",Purchased Quantity
"What’s the quantity purchased for Standard 1"" casing and caping?",Purchased Quantity
"How much Standard 1"" casing and caping was bought?",Purchased Quantity
"Give me the purchased quantity for Standard 1"" casing and caping.",Purchased Quantity
"How many Standard 1"" casing and caping units were acquired?",Purchased Quantity
"What quantity of Standard 1"" casing and caping has been purchased?",Purchased Quantity
"What was the purchased quantity for Standard 1"" casing and caping?",Purchased Quantity
"Could you provide the quantity of Standard 1"" casing and caping purchased?",Purchased Quantity
"How many Standard 1"" casing and caping did we buy?",Purchased Quantity
"What is the amount of Standard 1"" casing and caping purchased?",Purchased Quantity
"How much of Standard 1"" casing and caping was ordered?",Purchased Quantity
"What’s the total purchased quantity of Standard 1"" casing and caping?",Purchased Quantity
"How many Standard 1"" casing and caping items were purchased?",Purchased Quantity
"Can you give me the quantity bought for Standard 1"" casing and caping?",Purchased Quantity
"What’s the number of Standard 1"" casing and caping purchased?",Purchased Quantity
"How much stock of Standard 1"" casing and caping was bought?",Purchased Quantity
"Tell me the quantity purchased for Standard 1"" casing and caping.",Purchased Quantity
"How many units of Standard 1"" casing and caping were ordered?",Purchased Quantity
"What is the total quantity purchased for Standard 1"" casing and caping?",Purchased Quantity
"Can you list the purchased quantity for Standard 1"" casing and caping?",Purchased Quantity
"How much Standard 1"" casing and caping stock was acquired?",Purchased Quantity
"What was the ordered quantity for Standard 1"" casing and caping?",Purchased Quantity
"How many pieces of Standard 1"" casing and caping did we buy?",Purchased Quantity
"What quantity of Standard 1"" casing and caping was ordered?",Purchased Quantity
"How much of Standard 1"" casing and caping has been bought?",Purchased Quantity
"How many Standard 1"" casing and caping units were ordered?",Purchased Quantity
What is the purchased quantity of Tp link tl pe 160s poe injector?,Purchased Quantity
